projectID,sprintId,status,storyId,issueKey,summary,priorityId,assignee,initialStoryPoint,currentStoryPoint
37,139,Completed,12838273,AURORA-1352,Audit log doesn't capture Shiro subject principal,3,kevints,0,3
37,139,Completed,12838585,AURORA-1353,MesosPathDetector double-counts checkpoint roots,3,wickman,0,2
37,139,Completed,12839015,AURORA-1361,Explicit reconciliation must use SLAVE_ASSIGNED_STATES,3,maximk,2,2
37,151,Completed,12713704,AURORA-415,H2-backed implementation of JobStore,3,wfarner,0,3
37,151,Completed,12771409,AURORA-1074,"Remove the ""enable_legacy_constraints"" flag.",3,zmanji,2,2
37,151,Completed,12826168,AURORA-1298,Make DbTaskStore suitable for use in production,3,wfarner,5,5
37,151,Completed,12831475,AURORA-1327,MesosSchedulerImpl should check if reason is present when posting status updates,3,wfarner,2,2
37,151,Completed,12832276,AURORA-1333,Remove GC executor code,3,maximk,0,4
37,151,Completed,12832277,AURORA-1334,Remove GCExecutorLauncher code,3,maximk,0,3
37,151,Completed,12839991,AURORA-1368,shutdown_endpoint fields should be in the aurora schema,1,wickman,0,2
37,151,Completed,12840940,AURORA-1375,When setting quota  the scheduler should prevent setting below current usage,3,zmanji,2,2
37,151,NotCompletedWithinSprint,12841792,AURORA-1379,Referential integrity violation when replaying storage,3,wfarner,2,2
37,151,CompletedInNotherSprint,12740639,AURORA-698,aurora executor _shutdown deadline calls should be daemonized,3,wickman,1,1
37,156,Completed,12772206,AURORA-1096,Scheduler updater should limit the number of job/instance events,3,yasumoto,5,5
37,156,Completed,12832275,AURORA-1332,Updater does not skip already updated instances with /INSTANCES option.,3,wfarner,2,2
37,156,Completed,12838273,AURORA-1352,Audit log doesn't capture Shiro subject principal,3,kevints,3,3
37,156,Completed,12843581,AURORA-1383,Unique constraint on task_config_metadata.key should be removed,3,wfarner,0,2
37,156,Completed,12843641,AURORA-1386,Transaction isolation on DB stores is too strict,2,wfarner,0,2
37,156,Completed,12843953,AURORA-1390,Primary key violation when modifying cron jobs with DbCronJobStore,3,wfarner,0,2
37,156,Completed,12843959,AURORA-1392,DbCronJobStore does not go through TaskConfig de-dupe code  breaking uniqueness assumptions elsewhere,3,wfarner,0,5
37,156,Completed,12844744,AURORA-1397,Python style checker should only report errors,4,wfarner,0,2
37,156,Completed,12844999,AURORA-1399,update start --wait should exit non-zero when the update was non-successful,3,wfarner,0,0
37,156,Completed,12845658,AURORA-1401,DB deadlock caused stuck job update,3,wfarner,2,2
37,156,NotCompletedWithinSprint,12844308,AURORA-1395,RescheduleCalculator precondition fails when using DbTaskStore,2,wfarner,0,5
37,156,CompletedInNotherSprint,12841792,AURORA-1379,Referential integrity violation when replaying storage,3,wfarner,2,2
37,160,Completed,12836242,AURORA-1342,shiro.ini with blank users section fails to parse.,3,kevints,1,1
37,160,Completed,12848421,AURORA-1406,End-to-end test stalls at SSH prompt,2,wfarner,2,2
37,160,Completed,12848422,AURORA-1407,IllegalArgumentException in end-to-end tests,1,wfarner,0,3
37,160,Completed,12848678,AURORA-1409,End-to-end tests fail with 401 unuthorized,1,kevints,3,3
37,160,NotCompletedWithinSprint,12690928,AURORA-97,Provide a web UI page to show history for a specific job instance,4,joshua.cohen,0,0
37,160,NotCompletedWithinSprint,12842355,AURORA-1381,Remove duplicate thermos_observer,4,null,0,2
37,160,NotCompletedWithinSprint,12844308,AURORA-1395,RescheduleCalculator precondition fails when using DbTaskStore,2,wfarner,5,5
37,160,NotCompletedWithinSprint,12846403,AURORA-1402,Allow overriding cluster attributes via environment variables,3,yasumoto,5,5
37,160,Punted,12767535,AURORA-1014,Client binding_helper to resolve docker label to a stable ID at create,3,santhk,5,5
37,160,Punted,12821849,AURORA-1282,twitter.common.stats.Stats warns about exported metric names,4,yasumoto,3,3
37,163,Completed,12775078,AURORA-1125,Update page UI should have some indication of ongoing activity,4,joshua.cohen,0,3
37,163,Completed,12781562,AURORA-1193,Improve UI task status reporting experience,4,maximk,0,2
37,163,Completed,12844308,AURORA-1395,RescheduleCalculator precondition fails when using DbTaskStore,2,wfarner,5,5
37,163,Completed,12849967,AURORA-1415,De-generalize resource handling in Scheduler,3,maximk,8,8
37,163,Completed,12849981,AURORA-1421,Surface revoked task reason in the UI,3,maximk,0,3
37,163,Completed,12851188,AURORA-1425,Speed up iteration speed when developing UI code,3,joshua.cohen,0,5
37,163,Completed,12851499,AURORA-1427,Move build-support/packaging to aurora-packaging repo,3,wfarner,0,2
37,163,Completed,12852332,AURORA-1430,Set up vagrant environment for sudo-less docker commands,3,wfarner,1,1
37,163,Completed,12852867,AURORA-1431,Slave reservation is too restrictive,1,maximk,0,3
37,163,Completed,12855967,AURORA-1435,Scheduling loop terminates on the first mismatch,1,maximk,0,2
37,163,NotCompletedWithinSprint,12690928,AURORA-97,Provide a web UI page to show history for a specific job instance,4,joshua.cohen,0,5
37,163,NotCompletedWithinSprint,12748678,AURORA-851,Create nightly builds,3,wfarner,0,3
37,163,NotCompletedWithinSprint,12832273,AURORA-1331,It should be possible to link to an instance from the update page,4,joshua.cohen,0,0
37,163,NotCompletedWithinSprint,12842355,AURORA-1381,Remove duplicate thermos_observer,4,null,2,2
37,163,NotCompletedWithinSprint,12848934,AURORA-1410,Publish RPM and deb for 0.9.0,3,wfarner,0,5
37,163,NotCompletedWithinSprint,12852293,AURORA-1429,Upgrade Mesos to 0.23,4,maximk,2,2
37,174,Completed,12690928,AURORA-97,Provide a web UI page to show history for a specific job instance,4,joshua.cohen,5,5
37,174,Completed,12733569,AURORA-647,Don't store serialized thrift objects in the database,3,wfarner,3,3
37,174,Completed,12748678,AURORA-851,Create nightly builds,3,wfarner,3,3
37,174,Completed,12783642,AURORA-1213,IP clearance and import of twitter commons java code,4,zmanji,0,8
37,174,Completed,12832273,AURORA-1331,It should be possible to link to an instance from the update page,4,joshua.cohen,0,1
37,174,Completed,12849966,AURORA-1414,Schema changes to support revocable jobs,3,maximk,0,3
37,174,Completed,12849971,AURORA-1417,Handle revocable resources in scheduler,3,maximk,0,0
37,174,Completed,12849972,AURORA-1418,Ignore revocable resources in preemptor,3,maximk,0,2
37,174,Completed,12849974,AURORA-1419,FrameworkInfo support for REVOCABLE_RESOURCES capability,3,maximk,0,2
37,174,Completed,12852293,AURORA-1429,Upgrade Mesos to 0.23,4,maximk,2,2
37,174,Completed,12856668,AURORA-1437,Implement TierManager to translate tiers to task traits,3,maximk,0,3
37,174,Completed,12857056,AURORA-1439,Modify resource counters to support revocable slot counters,3,maximk,0,3
37,174,Completed,12857919,AURORA-1442,Move Twitter Commons into org.apache.aurora namespace and add headers,3,zmanji,0,0
37,174,NotCompletedWithinSprint,12740616,AURORA-696,No way to link directly to Completed Tasks,3,joshua.cohen,2,2
37,174,NotCompletedWithinSprint,12848934,AURORA-1410,Publish RPM and deb for 0.9.0,3,wfarner,5,5
37,179,Completed,12740616,AURORA-696,No way to link directly to Completed Tasks,3,joshua.cohen,2,2
37,179,Completed,12745535,AURORA-783,Remove redundant page header text,3,joshua.cohen,0,2
37,179,Completed,12836598,AURORA-1345,Update status page for large jobs is killed by Chrome,3,joshua.cohen,5,5
37,179,Completed,12859204,AURORA-1445,In-progress instances on Update page continue to pulse after update is aborted,4,joshua.cohen,3,3
37,179,Completed,12860754,AURORA-1460,Remove quota enforcement for dedicated jobs,3,maximk,3,3
37,179,Completed,12860756,AURORA-1461,Update RPCs and client/UI to properly identify non-dedicated consumption,3,maximk,2,2
37,179,Completed,12860783,AURORA-1464,Add e2e integration tests for revocable tasks,3,maximk,3,3
37,179,Completed,12861396,AURORA-1474,Improve discoverability of dashboard link on the Job page,3,joshua.cohen,0,1
37,179,NotCompletedWithinSprint,12857885,AURORA-1441,Document oversubscription in Aurora,3,maximk,2,2
37,179,NotCompletedWithinSprint,12860520,AURORA-1459,DelayExecutor is flaky within scheduling loop,3,wfarner,5,5
37,179,NotCompletedWithinSprint,12860758,AURORA-1462,Update quota documentation,3,maximk,1,1
37,179,NotCompletedWithinSprint,12860793,AURORA-1465,Update smart table version to latest,3,null,5,5
37,179,NotCompletedWithinSprint,12863534,AURORA-1491,"Make ""aurora task"" commands support optional ssh options",4,maximk,0,2
37,179,Punted,12842155,AURORA-1380,Upgrade to guice 4.0,2,wfarner,3,3
37,190,Completed,12857885,AURORA-1441,Document oversubscription in Aurora,3,maximk,2,2
37,190,Completed,12860758,AURORA-1462,Update quota documentation,3,maximk,1,1
37,190,Completed,12863534,AURORA-1491,"Make ""aurora task"" commands support optional ssh options",4,maximk,2,2
37,190,Completed,12875737,AURORA-1494,Scheduler fails to start due to thrift/SQL schema data type mismatch,1,maximk,3,3
37,191,Completed,12901136,AURORA-1502,Create a design summary for the jobConfigDiff RPC,3,maximk,5,5
